ansible-role-jenkins-plugins,14,2,2,red hat,1,0.5,yes
ansible-role-jenkins-plugins,13,1,6,red hat,6,1.0,yes
fuel-plugin-vxlan,13,2,1,openstack foundation,1,1.0,yes
fuel-plugin-vxlan,12,1,1,orange,1,1.0,yes
oslosphinx,18,11,2,ntt,1,0.5,yes
oslosphinx,17,10,2,suse,2,1.0,yes
oslosphinx,16,9,7,red hat,2,0.2857142857142857,no
oslosphinx,15,8,6,independent,2,0.3333333333333333,no
oslosphinx,14,7,7,nec,2,0.2857142857142857,no
oslosphinx,13,6,4,hpe,1,0.25,no
oslosphinx,12,5,9,hpe,5,0.5555555555555556,yes
oslosphinx,11,4,9,hpe,7,0.7777777777777778,yes
oslosphinx,10,3,4,hpe,2,0.5,yes
oslosphinx,9,2,6,suse,2,0.3333333333333333,no
oslosphinx,8,1,5,hpe,2,0.4,no
tempest-plugin-cookiecutter,17,5,1,suse,1,1.0,yes
tempest-plugin-cookiecutter,13,1,2,nec,2,1.0,yes
python-tricircleclient,18,4,5,independent,2,0.4,no
python-tricircleclient,17,3,1,independent,1,1.0,yes
python-tricircleclient,16,2,20,intel,8,0.4,no
python-tricircleclient,15,1,3,intel,3,1.0,yes
fuel-plugin-vmware-dvs,15,4,7,mirantis,7,1.0,yes
fuel-plugin-vmware-dvs,14,3,56,mirantis,56,1.0,yes
fuel-plugin-vmware-dvs,13,2,70,mirantis,70,1.0,yes
fuel-plugin-vmware-dvs,12,1,35,mirantis,35,1.0,yes
watcher-tempest-plugin,18,6,15,servionica,8,0.5333333333333333,yes
watcher-tempest-plugin,16,4,14,servionica,4,0.2857142857142857,no
watcher-tempest-plugin,15,3,12,b<>com,5,0.4166666666666667,no
watcher-tempest-plugin,14,2,16,b<>com,12,0.75,yes
watcher-tempest-plugin,13,1,12,b<>com,9,0.75,yes
ironic-staging-drivers,18,6,12,red hat,7,0.5833333333333334,yes
ironic-staging-drivers,17,5,16,mirantis,12,0.75,yes
ironic-staging-drivers,16,4,21,mirantis,17,0.8095238095238095,yes
ironic-staging-drivers,15,3,14,mirantis,13,0.9285714285714286,yes
ironic-staging-drivers,14,2,11,mirantis,7,0.6363636363636364,yes
ironic-staging-drivers,13,1,4,independent,1,0.25,no
fuel-plugin-cinder-netapp,16,6,1,mirantis,1,1.0,yes
fuel-plugin-cinder-netapp,15,5,3,mirantis,3,1.0,yes
fuel-plugin-cinder-netapp,14,4,14,mirantis,13,0.9285714285714286,yes
fuel-plugin-cinder-netapp,13,3,5,dell,2,0.4,no
fuel-plugin-cinder-netapp,12,2,7,mirantis,4,0.5714285714285714,yes
fuel-plugin-cinder-netapp,11,1,5,mirantis,4,0.8,yes
swiftonfile,17,10,1,zte corporation,1,1.0,yes
swiftonfile,16,9,1,nec,1,1.0,yes
swiftonfile,14,7,4,red hat,3,0.75,yes
swiftonfile,13,6,13,red hat,10,0.7692307692307693,yes
swiftonfile,12,5,11,red hat,9,0.8181818181818182,yes
swiftonfile,11,4,9,red hat,6,0.6666666666666666,yes
swiftonfile,10,3,70,red hat,69,0.9857142857142858,yes
swiftonfile,9,2,64,red hat,63,0.984375,yes
swiftonfile,8,1,140,red hat,138,0.9857142857142858,yes
airship-berth,18,2,1,at&t,1,1.0,yes
airship-berth,17,1,8,dell,7,0.875,yes
ansible-role-k8s-keystone,17,2,5,independent,5,1.0,yes
ansible-role-k8s-keystone,16,1,13,independent,10,0.7692307692307693,yes
python-tackerclient,18,9,13,independent,9,0.6923076923076923,yes
python-tackerclient,17,8,16,independent,5,0.3125,no
python-tackerclient,16,7,15,99cloud,3,0.2,no
python-tackerclient,15,6,18,independent,3,0.16666666666666666,no
python-tackerclient,14,5,37,red hat,9,0.24324324324324326,no
python-tackerclient,13,4,27,deutsche telekom,6,0.2222222222222222,no
python-tackerclient,12,3,15,intel,7,0.4666666666666667,no
python-tackerclient,11,2,7,intel,7,1.0,yes
python-tackerclient,10,1,8,intel,7,0.875,yes
osops-coda,16,2,1,rackspace,1,1.0,yes
osops-coda,15,1,1,fujitsu,1,1.0,yes
bareon,17,8,4,cray,3,0.75,yes
bareon,16,7,8,mirantis,5,0.625,yes
bareon,15,6,39,mirantis,36,0.9230769230769231,yes
bareon,14,5,50,mirantis,47,0.94,yes
bareon,13,4,46,mirantis,41,0.8913043478260869,yes
bareon,12,3,58,mirantis,57,0.9827586206896551,yes
